name,flights,hotel,grocery,gas,dining,other,rotating,flat_cash_back,req_credit,annual_fee,card_type,application_link,review_link,annual_bonus,image_url,converted_name
Virgin Atlantic World Elite Mastercard®,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,90.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/virgin-atlantic,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Virgin-Atlantic-World-Elite-Mastercard
CitiBusiness® / AAdvantage® Platinum Select® Mastercard®,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,720,99.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/citibusiness-aadvantage-platinum,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,CitiBusiness--AAdvantage-Platinum-Select-Mastercard
Delta SkyMiles® Gold Business American Express Card,2.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,99.0,American Express,https://www.nerdwallet.com/redirect/credit-cards/1106?clickHeader_category=Credit%20Card&clickHeader_productId=1106&name=American-Express-Gold-Delta-SkyMiles-Business&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=d916911d-cba1-4ea8-a344-36b454e0c0fe,https://www.nerdwallet.com/reviews/credit-cards/american-express-gold-delta-skymiles-business,100.0,//www.nerdwallet.com/c1/images/1106_5979375ae775f568f900fb5fca6c499b_142x225_L.jpg,Delta-SkyMiles-Gold-Business-American-Express-Card
Delta SkyMiles® Platinum Business American Express Card,3.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,250.0,American Express,https://www.nerdwallet.com/redirect/credit-cards/1102?clickHeader_category=Credit%20Card&clickHeader_productId=1102&name=American-Express-Platinum-Delta-SkyMiles-Business&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=8a72c0dc-62c4-4ac6-a2dc-40d7c6cd780d,https://www.nerdwallet.com/blog/credit-cards/platinum-delta-skymiles-business-credit-card/,0.0,//www.nerdwallet.com/c1/images/1102_a980067af346299fa8fd26ec40f3e417_142x225_L.jpg,Delta-SkyMiles-Platinum-Business-American-Express-Card
Delta SkyMiles® Reserve Business American Express Card,3.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,550.0,American Express,https://www.nerdwallet.com/redirect/credit-cards/1101?clickHeader_category=Credit%20Card&clickHeader_productId=1101&name=American-Express-Delta-Reserve-for-Business&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=143af8d9-946c-41d8-8807-6688ebd71051,https://www.nerdwallet.com/blog/credit-cards/delta-reserve-for-business/,0.0,//www.nerdwallet.com/c1/images/1101_faeb6d63bf6ecb776df83b3972b289c5_142x225_L.jpg,Delta-SkyMiles-Reserve-Business-American-Express-Card
Southwest Rapid Rewards® Performance Business Credit Card,3.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,199.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/southwest-rapid-rewards-performance-business,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Southwest-Rapid-Rewards-Performance-Business-Credit-Card
Southwest Rapid Rewards® Premier Business Credit Card,2.0,2.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,99.0,Unknown,,https://www.nerdwallet.com/blog/credit-cards/southwest-rapid-rewards-premier-business-credit-card/,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Southwest-Rapid-Rewards-Premier-Business-Credit-Card
United℠ Business Card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,99.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/united-explorer-business,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,United-Business-Card
Best Western Rewards® Mastercard®,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/best-western-rewards,0.0,//www.nerdwallet.com/c1/images/10020_7a887226c1a25c898d239eeb708f1989_141x225_L.jpg,Best-Western-Rewards-Mastercard
Hilton Honors American Express Card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,American Express,https://www.nerdwallet.com/redirect/credit-cards/1118?clickHeader_category=Credit%20Card&clickHeader_productId=1118&name=Hilton-HHonors-American-Express&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=1470c2d2-ac36-43b8-a878-ba12554c97c2,https://www.nerdwallet.com/reviews/credit-cards/hilton-amex-review,0.0,//www.nerdwallet.com/c1/images/1118_2176f1818d35cfc12d61b37e9ec3e73d_142x225_L.jpg,Hilton-Honors-American-Express-Card
